Typ,Datum,Kommando
"Filsystem","2025-10-24 11:35:29","pwd"
"Filsystem","2025-10-24 11:35:29","cd home"
"Filsystem","2025-10-24 11:35:29","pwd"
"Filsystem","2025-10-24 11:35:29","cd ~"
"Filsystem","2025-10-24 11:35:29","pwd"
"Övrigt","2025-10-24 11:35:29","mkdir dir1 dir2 dir3"
"Filsystem","2025-10-24 11:35:29","ls"
"Övrigt","2025-10-24 11:35:29","rmdir dir3"
"Filsystem","2025-10-24 11:35:29","ls"
"Filsystem","2025-10-24 11:35:29","ls -l"
"Övrigt","2025-10-24 11:35:29","touch testfile"
"Filsystem","2025-10-24 11:35:29","ls -l testfile"
"System","2025-10-24 11:35:29","sudo chown annanuser testfile"
"System","2025-10-24 11:35:29","sudo chown root testfile"
"Filsystem","2025-10-24 11:35:29","ls -l testfile"
"Övrigt","2025-10-24 11:35:29","touch file1"
"Övrigt","2025-10-24 11:35:29","cp file1 file2"
"Övrigt","2025-10-24 11:35:29","mv file2 renamed_file"
"Övrigt","2025-10-24 11:35:29","rm file1"
"Filsystem","2025-10-24 11:35:29","ls"
"Övrigt","2025-10-24 11:35:29","cp file1 file2"
"Övrigt","2025-10-24 11:35:29","mv file2"
"System","2025-10-24 11:35:29","sudo chown root testfile"
"Filsystem","2025-10-24 11:35:29","ls -l testfile"
"Övrigt","2025-10-24 11:35:29","rm file1"
"Text & Sökning","2025-10-24 11:35:29","cat /etc/passwd"
"Text & Sökning","2025-10-24 11:35:29","head /etc/passwd"
"Text & Sökning","2025-10-24 11:35:29","tail /etc/passwd"
"Text & Sökning","2025-10-24 11:35:29","grep "bash" /etc/passwd"
"System","2025-10-24 11:35:29","sudo apt update"
"Övrigt","2025-10-24 11:35:29","su - annanuser"
"Övrigt","2025-10-24 11:35:29","shutdown -h now"
"Nätverk","2025-10-24 11:35:29","ip a"
"Nätverk","2025-10-24 11:35:29","ping -c 4 google.com"
"System","2025-10-24 11:35:29","sudo tcpdump -i any port 80 -w http_log.pc"
"Filsystem","2025-10-24 11:35:29","ls -lh http_log.pcap"
"System","2025-10-24 11:35:29","sudo tcpdump -i any port 443 -w https_log.pcap"
"Filsystem","2025-10-24 11:35:29","ls -lh https_log.pcap"
"Övrigt","2025-10-24 11:35:29","scp linux_assignment_submission.zip username@vm-ip-address:~"
"Filsystem","2025-10-24 11:35:29","cd /mnt/hgfs/shared"
"Filsystem","2025-10-24 11:35:29","cd /media/shared"
"Övrigt","2025-10-24 11:35:29","vmware-toolbox-cmd -v"
"System","2025-10-24 11:35:29","sudo apt update"
"System","2025-10-24 11:35:29","sudo apt install open-vm-tools open-vm-tools-desktop -y"
"System","2025-10-24 11:35:29","sudo reboot"
"Filsystem","2025-10-24 11:35:29","pwd"
"Skript","2025-10-24 11:35:29","generate_metadata.sh"
"Filsystem","2025-10-24 11:35:29","ls"
"Filsystem","2025-10-24 11:35:29","find . -type f -name "*.sh""
"Övrigt","2025-10-24 11:35:29","mkdir -p ~/doc_templates/reports"
"Övrigt","2025-10-24 11:35:29","nano ~/doc_templates/reports/status_report.md"
"Filsystem","2025-10-24 11:35:29","cd ~/doc_templates/reports"
"Övrigt","2025-10-24 11:35:29","pandoc status_report.md -o status_report.pdf"
"Övrigt","2025-10-24 11:35:29","pandoc status_report.md -o status_report.html"
"Övrigt","2025-10-24 11:35:29","cp status_report.md ~/doc_templates/exports/status_report_$(date +%Y%m%d_%H%M%S).md"
"Övrigt","2025-10-24 11:35:29","xdg-open status_report.pdf &"
"Övrigt","2025-10-24 11:35:29","nano ~/doc_templates/reports/status_report.md"
"Övrigt","2025-10-24 11:35:29","pandoc status_report.md -o status_report.pdf"
"Övrigt","2025-10-24 11:35:29","sed -i 's/[📊📈📉📝✅⚠️❌]//g' status_report.md"
"Övrigt","2025-10-24 11:35:29","pandoc status_report.md -o status_report.pdf"
"Filsystem","2025-10-24 11:35:29","ls -lh status_report.pdf"
"Övrigt","2025-10-24 11:35:29","xdg-open status_report.pdf &"
"Övrigt","2025-10-24 11:35:29","timestamp=$(date +%Y%m%d_%H%M%S)"
"Övrigt","2025-10-24 11:35:29","cp status_report.pdf ~/doc_templates/exports/status_report_$timestamp.pdf"
"Filsystem","2025-10-24 11:35:29","ls -lh export.sh"
"Skript","2025-10-24 11:35:29","chmod +x export.sh"
"Skript","2025-10-24 11:35:29","./docs-engine/export.sh"
"Filsystem","2025-10-24 11:35:29","cd ~/docs-engine"
"Skript","2025-10-24 11:35:29","./docs-engine/export.sh"
"Filsystem","2025-10-24 11:35:29","ls -lh export.sh"
"Skript","2025-10-24 11:35:29","./export.sh"
"Skript","2025-10-24 11:35:29","export.sh"
"Skript","2025-10-24 11:35:29","./export.sh"
"Filsystem","2025-10-24 11:35:29","ls -lh ~/doc_templates/kate-template.latex"
"Filsystem","2025-10-24 11:35:29","cd"
"Filsystem","2025-10-24 11:35:29","ls -lh ~/doc_templates/kate-template.latex"
"Filsystem","2025-10-24 11:35:29","ls"
"Skript","2025-10-24 11:35:29","nano ~/doc_templates/reports/generate_metadata.sh"
"Skript","2025-10-24 11:35:29","bash ~/doc_templates/reports/generate_metadata.sh"
"Övrigt","2025-10-24 11:35:29","mkdir -p "$HOME/screenshots""
"Skript","2025-10-24 11:35:29","nano ~/doc_templates/reports/generate_metadata.sh"
"Skript","2025-10-24 11:35:29","bash ~/doc_templates/reports/generate_metadata.sh"
"Filsystem","2025-10-24 11:35:29","ls -lh ~/doc_templates/kate-template.latex"
"Skript","2025-10-24 11:35:29","bash ~/doc_templates/reports/generate_metadata.sh"
"Skript","2025-10-24 11:35:29","nano ~/doc_templates/reports/generate_metadata.sh"
"Skript","2025-10-24 11:35:29","bash ~/doc_templates/reports/generate_metadata.sh"
"Filsystem","2025-10-24 11:35:29","ls -lh ~/doc_templates/kate-template.latex"
"Skript","2025-10-24 11:35:29","export.sh"
"Skript","2025-10-24 11:35:29","./export.sh"
"Filsystem","2025-10-24 11:35:29","cd ~/docs-engine"
"Skript","2025-10-24 11:35:29","./export.sh"
"Skript","2025-10-24 11:35:29","rapport.sh"
"Skript","2025-10-24 11:35:29","./export.sh"
"Övrigt","2025-10-24 11:35:29","README.md"
"Filsystem","2025-10-24 11:35:29","cd"
"Övrigt","2025-10-24 11:35:29","README.md"
"Skript","2025-10-24 11:35:29","rapport.sh"
"Skript","2025-10-24 11:35:29","./export.sh"
"Skript","2025-10-24 11:35:29","bash ~/doc_templates/reports/generate_metadata.sh"
"Skript","2025-10-24 11:35:29","nano ~/doc_templates/reports/generate_metadata.sh"
"Skript","2025-10-24 11:35:29","bash ~/doc_templates/reports/generate_metadata.sh"
"Filsystem","2025-10-24 11:35:29","find $HOME -type f -name "*.sh" | sort | uniq -d"
"Filsystem","2025-10-24 11:35:29","find $HOME -type f -name "*.sh" -exec md5sum {} + | sort | uniq -w32 -d"
"System","2025-10-24 11:35:29","sudo apt install fdupes   # Ubuntu/Debian"
"Övrigt","2025-10-24 11:35:29","fdupes -r $HOME"
"Filsystem","2025-10-24 11:35:29","ls -lh ~/doc_templates/exports/rapport_*.md"
"Övrigt","2025-10-24 11:35:29","rm ~/doc_templates/exports/rapport_2025-10-11_22-57-39.html"
"Filsystem","2025-10-24 11:35:29","ls -lh ~/rapport_*.md"
"Filsystem","2025-10-24 11:35:29","ls -lh ~/doc_templates/exports/rapport_*"
"Filsystem","2025-10-24 11:35:29","ls -lh ~/doc_templates/reports/generate_metadata.sh"
"Skript","2025-10-24 11:35:29","chmod +x ~/doc_templates/reports/generate_metadata.sh"
"Skript","2025-10-24 11:35:29","bash -x ~/doc_templates/reports/generate_metadata.sh"
"System","2025-10-24 11:35:29","sudo apt install shellcheck"
"Skript","2025-10-24 11:35:29","shellcheck ~/doc_templates/reports/generate_metadata.sh"
"Övrigt","2025-10-24 11:35:29","declare -A assignment_descriptions=( : "${assignment_descriptions[@]}""
"Övrigt","2025-10-24 11:35:29",": "${assignment_descriptions[@]}""
"Filsystem","2025-10-24 11:35:29","ls -lh ~/rapport_*.md"
"Filsystem","2025-10-24 11:35:29","ls -lh ~/doc_templates/exports/rapport_*"
"Skript","2025-10-24 11:35:29","bash ~/doc_templates/reports/generate_metadata.sh"
"Skript","2025-10-24 11:35:29","nano ~/doc_templates/reports/generate_metadata.sh"
"Skript","2025-10-24 11:35:29","bash ~/doc_templates/reports/generate_metadata.sh"
"Övrigt","2025-10-24 11:35:29","mkdir -p ~/screenshots"
"Övrigt","2025-10-24 11:35:29","import -window root ~/screenshots/part2.png"
"Övrigt","2025-10-24 11:35:29","nl -ba ~/doc_templates/reports/generate_metadata.sh | less"
"Övrigt","2025-10-24 11:35:29","touch file1"
"Övrigt","2025-10-24 11:35:29","cp file1 file2"
"Övrigt","2025-10-24 11:35:29","mv file2 renamed_file"
"Övrigt","2025-10-24 11:35:29","rm file1"
"Filsystem","2025-10-24 11:35:29","ls"
"Övrigt","2025-10-24 11:35:29","exit"
"Filsystem","2025-10-24 11:35:29","ls -l /etc"
"Text & Sökning","2025-10-24 11:35:29","grep "root" /etc/passwd"
"Övrigt","2025-10-24 11:35:29","exit"
"Filsystem","2025-10-24 11:35:29","pwd"
"Filsystem","2025-10-24 11:35:29","cd /"
"Filsystem","2025-10-24 11:35:29","pwd"
"Filsystem","2025-10-24 11:35:29","cd home"
"Filsystem","2025-10-24 11:35:29","pwd"
"Filsystem","2025-10-24 11:35:29","cd ~"
"Filsystem","2025-10-24 11:35:29","pwd"
"Övrigt","2025-10-24 11:35:29","exit"
"Övrigt","2025-10-24 11:35:29","mkdir dir1 dir2 dir"
"Filsystem","2025-10-24 11:35:29","ls"
"Övrigt","2025-10-24 11:35:29","rmdir dir3"
"Övrigt","2025-10-24 11:35:29","rmdir dir"
"Filsystem","2025-10-24 11:35:29","ls"
"Övrigt","2025-10-24 11:35:29","exit"
"Filsystem","2025-10-24 11:35:29","ls"
"Filsystem","2025-10-24 11:35:29","ls -1"
"Övrigt","2025-10-24 11:35:29","exit"
"Övrigt","2025-10-24 11:35:29","touch testfile"
"Filsystem","2025-10-24 11:35:29","ls -1 testfile"
"Övrigt","2025-10-24 11:35:29","chmod 744 testfile"
"Filsystem","2025-10-24 11:35:29","ls -1 testfile"
"System","2025-10-24 11:35:29","sudo chown annanuser testfile"
"Filsystem","2025-10-24 11:35:29","ls -1 testfile"
"Övrigt","2025-10-24 11:35:29","exit"
"Text & Sökning","2025-10-24 11:35:29","cat /etc/passwd"
"Text & Sökning","2025-10-24 11:35:29","head /etc/passwd"
"Text & Sökning","2025-10-24 11:35:29","tail /etc/passwd"
"Text & Sökning","2025-10-24 11:35:29","grep "bash" /etc/passwd"
"Övrigt","2025-10-24 11:35:29","exit"
"System","2025-10-24 11:35:29","sudo apt update"
"Övrigt","2025-10-24 11:35:29","su - annanuser"
"Övrigt","2025-10-24 11:35:29","exit"
"Övrigt","2025-10-24 11:35:29","cut -d: -fi /etc/passwd"
"Övrigt","2025-10-24 11:35:29","cut -d: -f1 /etc/passwd"
"Övrigt","2025-10-24 11:35:29","exit"
"System","2025-10-24 11:35:29","journalctl > system_log_report.txt"
"Skript","2025-10-24 11:35:29","bash generate_log_report.sh"
"System","2025-10-24 11:35:29","systemctl status cron"
"Övrigt","2025-10-24 11:35:29","exit"
"Övrigt","2025-10-24 11:35:29","echo $HISTFILESIZE"
"Skript","2025-10-24 11:35:29","nano ~/doc_templates/reports/generate_metadata.sh"
"Skript","2025-10-24 11:35:29","nano ~/docs-engine/rapport_metadata.sh"
"Skript","2025-10-24 11:35:29","chmod +x ~/docs-engine/rapport_metadata.sh"
"Skript","2025-10-24 11:35:29","~/docs-engine/rapport_metadata.sh"
"Skript","2025-10-24 11:35:29","nano ~/docs-engine/rapport_metadata.sh"
"Övrigt","2025-10-24 11:35:29","history -a"
"Skript","2025-10-24 11:35:29","~/docs-engine/rapport_metadata.sh"
"Filsystem","2025-10-24 11:35:29","cd Dokument"
"Filsystem","2025-10-24 11:35:29","cd"
"Filsystem","2025-10-24 11:35:29","ls"
"Filsystem","2025-10-24 11:35:29","cd ~doc-engine"
"Filsystem","2025-10-24 11:35:29","cd /doc-engine"
"Skript","2025-10-24 11:35:29","nano ~/docs-engine/rapport_metadata.sh"
"Skript","2025-10-24 11:35:29","chmod +x ~/docs-engine/rapport_metadata.sh"
"Skript","2025-10-24 11:35:29","~/docs-engine/rapport_metadata.sh"
"Skript","2025-10-24 11:35:29","nano ~/docs-engine/rapport_metadata.sh"
"Skript","2025-10-24 11:35:29","bash rapport_metadata.sh"
"Skript","2025-10-24 11:35:29","~/docs-engine/rapport_metadata.sh"
"Filsystem","2025-10-24 11:35:29","cd ~/docs-engine"
"Skript","2025-10-24 11:35:29","bash rapport_metadata.sh"
"Övrigt","2025-10-24 11:35:29","pandoc rapport.md -o rapport.pdf --template=~/.pandoc/templates/kate-template.latex --pdf-engine=xelatex"
"Filsystem","2025-10-24 11:35:29","cd ~"
"Övrigt","2025-10-24 11:35:29","pandoc rapport.md -o rapport.pdf --template=~/.pandoc/templates/kate-template.latex --pdf-engine=xelatex"
"Övrigt","2025-10-24 11:35:29","nano ~/docs-engine/assets/kate-template.css"
"Övrigt","2025-10-24 11:35:29","nano ~/docs-engine/templates/kate-template.latex"
"Filsystem","2025-10-24 11:35:29","cd ~/docs-engine"
"Övrigt","2025-10-24 11:35:29","pandoc rapport.md   --pdf-engine=xelatex   --template=templates/kate-template.latex   --metadata-file=templates/metadata.yaml   -o exports/rapport_$(date +%F_%H-%M).pdf"
"Övrigt","2025-10-24 11:35:29","pandoc rapport.md   -c assets/kate-template.css   --standalone   --embed-resources   -o exports/rapport_$(date +%F_%H-%M).html"
"Övrigt","2025-10-24 11:35:29","nano ~/docs-engine/templates/kate-template.latex"
"Skript","2025-10-24 11:35:29","nano ~/docs-engine/rapport_metadata.sh"
"Skript","2025-10-24 11:35:29","bash ~/docs-engine/export.sh"
"Övrigt","2025-10-24 11:35:29","pandoc rapport.md   -c assets/kate-template.css   --standalone   --embed-resources   -o exports/rapport_$(date +%F_%H-%M).html"
"Övrigt","2025-10-24 11:35:29","pandoc rapport.md -o rapport.pdf --template=~/.pandoc/templates/kate-template.latex --pdf-engine=xelatex"
"Skript","2025-10-24 11:35:29","bash rapport_metadata.sh"
"Filsystem","2025-10-24 11:35:29","ls ~/docs-engine/{assets,templates}"
"Övrigt","2025-10-24 11:35:29","nano ~/docs-engine/templates/metadata.yaml"
"Skript","2025-10-24 11:35:29","bash export.sh"
"Övrigt","2025-10-24 11:35:29","echo -e "Subject: Linux Portfolio Submission\n\nHej! Här kommer min sammanställda dokumentationsmotor och rapport." | msmtp --attach=linux-report-engine.zip kontakt@katepetersen.se"
"Övrigt","2025-10-24 11:35:29","msmtp kontakt@katepetersen.se < ~/docs-engine/export/html/rapport_2025-10-16_15-43-19.html"
"Filsystem","2025-10-24 11:35:29","ls ~/docs-engine/comments/part18.md"
"Filsystem","2025-10-24 11:35:29","ls ~/docs-engine/logs/part18.log"
"Text & Sökning","2025-10-24 11:35:29","grep -Ei 'mkdir|touch|cd|ls|chmod|chown|rm|grep|mv|cp|export|env|at|cron|systemctl|journalctl|ping|top|htop|ps|df|du'"
"Övrigt","2025-10-24 11:35:29","mkdir -p ~/docs-engine/logs"
"Övrigt","2025-10-24 11:35:29","nano ~/docs-engine/logs/part18.log"
"Text & Sökning","2025-10-24 11:35:29","grep -Ei 'mkdir|touch|cd|ls|chmod|chown|rm|grep|mv|cp|export|env|at|cron|systemctl|journalctl|ping|top|htop|ps|df|du' ~/.bash_history | tail -n 50"
"Text & Sökning","2025-10-24 11:35:29","tail -n 100 ~/.bash_history"
"Skript","2025-10-24 11:35:29","chmod +x ~/docs-engine/rapport_metadata.sh"
"Filsystem","2025-10-24 11:35:29","cd ~/docs-engine"
"Skript","2025-10-24 11:35:29","./rapport_metadata.sh"
"Text & Sökning","2025-10-24 11:35:29","less rapport.md"
"Övrigt","2025-10-24 11:35:29","history | grep mkdir > ~/docs-engine/logs/part1.log"
"Skript","2025-10-24 11:35:29","bash ~/docs-engine/rapport_metadata.sh"
"Övrigt","2025-10-24 11:35:29","uname -a"
"Övrigt","2025-10-24 11:35:29","whoami"
"Övrigt","2025-10-24 11:35:29","date"
"Filsystem","2025-10-24 11:35:29","ls ~/docs-engine/comments/part{11..20}.md"
"Skript","2025-10-24 11:35:29","bash ~/docs-engine/rapport_metadata.sh"
"Övrigt","2025-10-24 11:35:29","xdg-open ~/docs-engine/export/report_*.html"
"Filsystem","2025-10-24 11:35:29","ls -lh ~/docs-engine/reports/"
"Filsystem","2025-10-24 11:35:29","ls -t ~/docs-engine/export/*.html | head -n1"
"Övrigt","2025-10-24 11:35:29","xdg-open /home/kate/docs-engine/export/report_2025-10-17_08-49-10.html"
"Övrigt","2025-10-24 11:35:29","xdg-open "$(ls -t ~/docs-engine/export/*.html | head -n1)""
"Övrigt","2025-10-24 11:35:29","ps aux"
"Övrigt","2025-10-24 11:35:29","top"
"Övrigt","2025-10-24 11:35:29","htop"
"System","2025-10-24 11:35:29","sudo apt install htop"
"Övrigt","2025-10-24 11:35:29","htop  # kör det"
"Övrigt","2025-10-24 11:35:29","history -a  # sparar senaste sessionen till ~/.bash_history"
"Övrigt","2025-10-24 11:35:29","nano ~/docs-engine/templates/report_template.html"
"Övrigt","2025-10-24 11:35:29","nano ~/docs-engine/templates/style.css"
"Filsystem","2025-10-24 11:35:29","cd ~/docs-engine/src"
"Övrigt","2025-10-24 11:35:29","./lab.sh master_parts"
"Skript","2025-10-24 11:35:29","nano ~/docs-engine/src/lab.sh"
"Filsystem","2025-10-24 11:35:29","cd ~/docs-engine/src"
"Övrigt","2025-10-24 11:35:29","./lab.sh master_parts"
"Övrigt","2025-10-24 11:35:29","nano ~/docs-engine/templates/part_layout.md"
"Skript","2025-10-24 11:35:29","nano ~/docs-engine/src/lab.sh"
"Filsystem","2025-10-24 11:35:29","cd ~/docs-engine/src"
"Övrigt","2025-10-24 11:35:29","./lab.sh master_parts"
"Filsystem","2025-10-24 11:35:29","cd ~/docs-engine/src"
"Övrigt","2025-10-24 11:35:29","./lab.sh master_parts"
"Övrigt","2025-10-24 11:35:29","nano ~/docs-engine/templates/expandable_template.html"
"Filsystem","2025-10-24 11:35:29","cd ~/docs-engine/src"
"Skript","2025-10-24 11:35:29","./lab.sh"
"Skript","2025-10-24 11:35:29","chmod +x ~/docs-engine/src/lab.sh"
"Filsystem","2025-10-24 11:35:29","cd ~/docs-engine/src"
"Skript","2025-10-24 11:35:29","./lab.sh"
"Övrigt","2025-10-24 11:35:29","~/docs-engine/exports/report_2025-10-19_22-45-31.html"
"Övrigt","2025-10-24 11:35:29","~/docs-engine/exports/report_2025-10-19_22-45-31.pdf"
"Skript","2025-10-24 11:35:29","chmod +x ~/docs-engine/src/lab.sh"
"Filsystem","2025-10-24 11:35:29","cd ~/docs-engine/src"
"Skript","2025-10-24 11:35:29","./lab.sh"
"System","2025-10-24 11:35:29","sudo apt install mailutils mutt"
"Filsystem","2025-10-24 11:35:29","ls -a ~ | grep mutt && ls -a ~ | grep msmtp && ls -a ~ | grep mail"
"Text & Sökning","2025-10-24 11:35:29","cat ~/.msmtprc"
"Övrigt","2025-10-24 11:35:29","echo -e "Subject: msmtp test\n\nThis is a test email from the terminal." | msmtp kontakt@katepetersen.se"
"Övrigt","2025-10-24 11:35:29","xdg-open ~/docs-engine/exports/html/lab_report_2025-10-19_XX-XX-XX.html"
"Övrigt","2025-10-24 11:35:29","pandoc --version"
"Filsystem","2025-10-24 11:35:29","cd ~/docs-engine/exports"
"Övrigt","2025-10-24 11:35:29","mkdir -p html pdf"
"Övrigt","2025-10-24 11:35:29","echo "# Test Report" > test.md"
"Övrigt","2025-10-24 11:35:29","echo "This is a **Pandoc export test**." >> test.md"
"Övrigt","2025-10-24 11:35:29","pandoc test.md -o html/test_report.html"
"Övrigt","2025-10-24 11:35:29","pandoc test.md -o pdf/test_report.pdf"
"Filsystem","2025-10-24 11:35:29","ls -lh ~/docs-engine/exports/html ~/docs-engine/exports/pdf"
"Skript","2025-10-24 11:35:29","chmod +x ~/docs-engine/src/lab.sh"
"Filsystem","2025-10-24 11:35:29","ls -ld ~/docs-engine/{src,exports,templates,assets,screenshot,logs}"
"Övrigt","2025-10-24 11:35:29","mkdir -p ~/docs-engine/{exports/html,exports/pdf,templates,assets/screenshot,logs}"
"Filsystem","2025-10-24 11:35:29","ls -ld ~/docs-engine/{src,exports,templates,assets,screenshot,logs}"
"Filsystem","2025-10-24 11:35:29","ls ~/docs-engine/src/master_parts.md"
"Filsystem","2025-10-24 11:35:29","cd ~/docs-engine/src"
"Skript","2025-10-24 11:35:29","./lab.sh"
"Övrigt","2025-10-24 11:35:29","xdg-open ~/docs-engine/exports/html/lab_report_2025-10-19_19-17-51.html"
"Filsystem","2025-10-24 11:35:29","ls ~/docs-engine/templates/expanding_report_template.html"
"Övrigt","2025-10-24 11:35:29","mkdir -p ~/docs-engine/templates"
"Text & Sökning","2025-10-24 11:35:29","cat << 'EOF' > ~/docs-engine/templates/expanding_report_template.html"
"Övrigt","2025-10-24 11:35:29","body {"
"Övrigt","2025-10-24 11:35:29","    font-family: 'Segoe UI', Tahoma, Geneva, Verdana, sans-serif;"
"Övrigt","2025-10-24 11:35:29","    background: #f4f7fa;"
"Övrigt","2025-10-24 11:35:29","    color: #333;"
